./testme 
2 
argumentSet = 2
Iteration 1: c = t, s = }re] , state = 0
Iteration 31341: c = {, s = et(r(, state = 9
Iteration 31342: c = e, s = s][xe, state = 9
Iteration 31343: c = ], s =  ]a t, state = 9
Iteration 31344: c = (, s = e }tr, state = 9
Iteration 31345: c = ), s = sa[s[, state = 9
Iteration 31346: c = [, s =  e{}r, state = 9
Iteration 31347: c =  , s =  rta{, state = 9
Iteration 31348: c = s, s = ()}x[, state = 9
Iteration 31349: c = ), s = ]es(s, state = 9
Iteration 31350: c = ), s = ]rsee, state = 9
Iteration 31351: c = [, s = [{[{], state = 9
Iteration 31352: c = r, s = xsx}a, state = 9
Iteration 31353: c = r, s = a)}t(, state = 9
Iteration 31354: c = }, s = )r xt, state = 9
Iteration 31355: c = a, s = (r{[), state = 9
Iteration 31356: c = t, s = {)({s, state = 9
Iteration 31357: c = s, s = [ t]e, state = 9
Iteration 31358: c =  , s = a([e , state = 9
Iteration 31359: c = (, s = xe[sa, state = 9
Iteration 31360: c = (, s = {xsa), state = 9
Iteration 31361: c = ), s = ae )t, state = 9
Iteration 31362: c = (, s = ][a)], state = 9
Iteration 31363: c =  , s = t()t(, state = 9
Iteration 31364: c = e, s =  }rxa, state = 9
Iteration 31365: c = [, s = }])}[, state = 9
Iteration 31366: c = {, s = {}(x{, state = 9
Iteration 31367: c = {, s = ]e{[a, state = 9
Iteration 31368: c = t, s =  a tx, state = 9
Iteration 31369: c = }, s = retx{, state = 9
Iteration 31370: c = }, s = )s({}, state = 9
Iteration 31371: c =  , s = }rr) , state = 9
Iteration 31372: c = t, s = rtr(t, state = 9
Iteration 31373: c =  , s = {arx}, state = 9
Iteration 31374: c = (, s = [{([e, state = 9
Iteration 31375: c =  , s = ]a s}, state = 9
Iteration 31376: c = e, s = {(}s], state = 9
Iteration 31377: c = r, s = t)]r], state = 9
Iteration 31378: c = r, s = (t e), state = 9
Iteration 31379: c = r, s = [)[(r, state = 9
Iteration 31380: c = e, s = xa{ex, state = 9
Iteration 31381: c = e, s = ))t{), state = 9
Iteration 31382: c = r, s = tr rx, state = 9
Iteration 31383: c = [, s = ]][[x, state = 9
Iteration 31384: c = ), s = sx(s), state = 9
Iteration 31385: c = s, s = r(a[s, state = 9
Iteration 31386: c = r, s = e]xse, state = 9
Iteration 31387: c = [, s = ]rs[], state = 9
Iteration 31388: c =  , s = (x[(x, state = 9
Iteration 31389: c = x, s = ] er , state = 9
Iteration 31390: c = }, s = rt)((, state = 9
Iteration 31391: c = ], s = e(  t, state = 9
Iteration 31392: c = [, s = xrt e, state = 9
Iteration 31393: c = r, s = ][(](, state = 9
Iteration 31394: c = ], s = {s[tr, state = 9
Iteration 31395: c =  , s = ]}xa), state = 9
Iteration 31396: c = }, s = t})as, state = 9
Iteration 31397: c = r, s = x )}], state = 9
Iteration 31398: c = }, s = ax}x{, state = 9
Iteration 31399: c = r, s = {ar{}, state = 9
Iteration 31400: c = }, s = )((tx, state = 9
Iteration 31401: c = e, s = ]) as, state = 9
Iteration 31402: c = {, s = {x)es, state = 9
Iteration 31403: c = x, s =  {ttr, state = 9
Iteration 31404: c = {, s = e[}){, state = 9
Iteration 31405: c = (, s = {t{ s, state = 9
Iteration 31406: c = e, s = []ax[, state = 9
Iteration 31407: c = a, s = )aea(, state = 9
Iteration 31408: c = e, s = s){e}, state = 9
Iteration 31409: c = s, s = tx(]t, state = 9
Iteration 31410: c =  , s = s(a(}, state = 9
Iteration 31411: c =  , s = [][a(, state = 9
Iteration 31412: c = {, s = ee))(, state = 9
Iteration 31413: c = e, s = x(a)t, state = 9
Iteration 31414: c = t, s = )[x]], state = 9
Iteration 31415: c = a, s = ()]xe, state = 9
Iteration 31416: c =  , s = ett[x, state = 9
Iteration 31417: c = [, s = {{tre, state = 9
Iteration 31418: c = (, s = )aa[s, state = 9
Iteration 31419: c =  , s = [)axx, state = 9
Iteration 31420: c = (, s = s}]][, state = 9
Iteration 31421: c = ), s = t[}[[, state = 9
Iteration 31422: c = s, s = [{(t(, state = 9
Iteration 31423: c = [, s = {ea)e, state = 9
Iteration 31424: c = {, s = tts }, state = 9
Iteration 31425: c =  , s = xxs{{, state = 9
Iteration 31426: c = (, s = t (x , state = 9
Iteration 31427: c = (, s = }xx)), state = 9
Iteration 31428: c = }, s = )sxs), state = 9
Iteration 31429: c = x, s = {)a{t, state = 9
Iteration 31430: c = s, s = ]ax}r, state = 9
Iteration 31431: c = r, s = r][e[, state = 9
Iteration 31432: c = x, s = [}s}{, state = 9
Iteration 31433: c = ), s = (s))s, state = 9
Iteration 31434: c = {, s = ({sxx, state = 9
Iteration 31435: c = e, s =  [{e], state = 9
Iteration 31436: c = [, s = )x]ra, state = 9
Iteration 31437: c = e, s = (x}([, state = 9
Iteration 31438: c = ], s = ] r t, state = 9
Iteration 31439: c = ), s = )[ex}, state = 9
Iteration 31440: c = a, s = {sa}s, state = 9
Iteration 31441: c = t, s = }x} (, state = 9
Iteration 31442: c = [, s = ({x)}, state = 9
Iteration 31443: c = ), s = a(t{}, state = 9
Iteration 31444: c = t, s = e[tr), state = 9
Iteration 31445: c = ), s = [e]} , state = 9
Iteration 31446: c = }, s = )t[({, state = 9
Iteration 31447: c = (, s = (xx]t, state = 9
Iteration 31448: c = s, s = a}{ ], state = 9
Iteration 31449: c = e, s = a)[} , state = 9
Iteration 31450: c = ), s = [xae[, state = 9
Iteration 31451: c = e, s = x]sxs, state = 9
Iteration 31452: c = [, s = ](] s, state = 9
Iteration 31453: c = ), s = ({{x), state = 9
Iteration 31454: c = s, s =  t)xx, state = 9
Iteration 31455: c = [, s = t)x}), state = 9
Iteration 31456: c = }, s = xt  ), state = 9
Iteration 31457: c = (, s = x{a[x, state = 9
Iteration 31458: c = {, s = er}t , state = 9
Iteration 31459: c = [, s = t]()[, state = 9
Iteration 31460: c = }, s = )[ (}, state = 9
Iteration 31461: c = e, s = rss( , state = 9
Iteration 31462: c = x, s = {]]]s, state = 9
Iteration 31463: c = {, s = e]s r, state = 9
Iteration 31464: c = {, s = }re)x, state = 9
Iteration 31465: c = s, s =  ([}a, state = 9
Iteration 31466: c = ], s = x(] a, state = 9
Iteration 31467: c = s, s = r)]}a, state = 9
Iteration 31468: c = }, s = ]{()x, state = 9
Iteration 31469: c = [, s = ssr]], state = 9
Iteration 31470: c =  , s = ]sa]a, state = 9
Iteration 31471: c = ], s = xss[(, state = 9
Iteration 31472: c =  , s = sttrx, state = 9
Iteration 31473: c =  , s = {(x}], state = 9
Iteration 31474: c = [, s = }][a , state = 9
Iteration 31475: c = ], s = )(]ss, state = 9
Iteration 31476: c = t, s = ]at)a, state = 9
Iteration 31477: c = (, s = tx[s(, state = 9
Iteration 31478: c = }, s =  xrr[, state = 9
Iteration 31479: c = a, s = s}([t, state = 9
Iteration 31480: c = a, s = s})}}, state = 9
Iteration 31481: c = }, s = ]ae)[, state = 9
Iteration 31482: c =  , s = et]st, state = 9
Iteration 31483: c = s, s = }{a{[, state = 9
Iteration 31484: c = a, s = ]s[r(, state = 9
Iteration 31485: c = t, s = {t]ex, state = 9
Iteration 31486: c =  , s = x[){e, state = 9
Iteration 31487: c = r, s = x)] ), state = 9
Iteration 31488: c = ), s = ([ex{, state = 9
Iteration 31489: c = e, s = ttste, state = 9
Iteration 31490: c = t, s = [[[et, state = 9
Iteration 31491: c = x, s = (a]e], state = 9
Iteration 31492: c = x, s = )[(ax, state = 9
Iteration 31493: c = r, s = t)rs(, state = 9
Iteration 31494: c = (, s = e[{e(, state = 9
Iteration 31495: c = [, s = s{[s(, state = 9
Iteration 31496: c = (, s = a{x({, state = 9
Iteration 31497: c = [, s = ]s{r{, state = 9
Iteration 31498: c = ], s = ) a}(, state = 9
Iteration 31499: c = x, s = )(]ss, state = 9
Iteration 31500: c = s, s = se{[], state = 9
Iteration 31501: c = a, s = ((]}a, state = 9
Iteration 31502: c = e, s = ]t]ss, state = 9
Iteration 31503: c = s, s = ]) t[, state = 9
Iteration 31504: c = x, s = }r} ], state = 9
Iteration 31505: c = }, s = {} a), state = 9
Iteration 31506: c = t, s = ]]{aa, state = 9
Iteration 31507: c = ), s =  t]te, state = 9
Iteration 31508: c = ], s = t) {}, state = 9
Iteration 31509: c =  , s = r[[a , state = 9
Iteration 31510: c = ], s = s) (t, state = 9
Iteration 31511: c = e, s = {r])[, state = 9
Iteration 31512: c = t, s = (}[sx, state = 9
Iteration 31513: c = s, s = )}xee, state = 9
Iteration 31514: c = (, s = {) a[, state = 9
Iteration 31515: c = ], s = ts  {, state = 9
Iteration 31516: c = {, s = {}[e[, state = 9
Iteration 31517: c =  , s = s rt{, state = 9
Iteration 31518: c = (, s = tsr}e, state = 9
Iteration 31519: c = }, s = )t{ta, state = 9
Iteration 31520: c =  , s = ]x se, state = 9
Iteration 31521: c = ), s = {{({t, state = 9
Iteration 31522: c = (, s = x[)(t, state = 9
Iteration 31523: c = r, s = a[)[}, state = 9
Iteration 31524: c = }, s = r x[{, state = 9
Iteration 31525: c = s, s =  e}re, state = 9
Iteration 31526: c = x, s =  t)a{, state = 9
Iteration 31527: c = r, s = ]rr{s, state = 9
Iteration 31528: c = e, s = [aerx, state = 9
Iteration 31529: c = x, s = { ]r , state = 9
Iteration 31530: c = [, s = ert ), state = 9
Iteration 31531: c = e, s = eerxa, state = 9
Iteration 31532: c = [, s = (tet , state = 9
Iteration 31533: c = e, s = r (](, state = 9
Iteration 31534: c = ], s = [xss(, state = 9
Iteration 31535: c = a, s = [[{tx, state = 9
Iteration 31536: c = r, s = r }]], state = 9
Iteration 31537: c = e, s = ]rs)e, state = 9
Iteration 31538: c =  , s = a}]] , state = 9
Iteration 31539: c = r, s =   ({ , state = 9
Iteration 31540: c = x, s = ] xe , state = 9
Iteration 31541: c = s, s = }((tr, state = 9
Iteration 31542: c = s, s = t)rt(, state = 9
Iteration 31543: c = }, s =  ]ts , state = 9
Iteration 31544: c = {, s = ]})se, state = 9
Iteration 31545: c = [, s =  xxs{, state = 9
Iteration 31546: c = e, s = settt, state = 9
Iteration 31547: c = ], s = ts{]t, state = 9
Iteration 31548: c = }, s = ({({(, state = 9
Iteration 31549: c = a, s = }se{s, state = 9
Iteration 31550: c = e, s = {a{e{, state = 9
Iteration 31551: c = ), s = ){a}(, state = 9
Iteration 31552: c =  , s = {[ }e, state = 9
Iteration 31553: c =  , s = ts)[{, state = 9
Iteration 31554: c = e, s = }]e}t, state = 9
Iteration 31555: c = r, s =  {{)t, state = 9
Iteration 31556: c = }, s = (}]]{, state = 9
Iteration 31557: c = s, s = [}[at, state = 9
Iteration 31558: c = e, s = r(ex , state = 9
Iteration 31559: c = t, s =  er[ , state = 9
Iteration 31560: c = ], s = s]t[{, state = 9
Iteration 31561: c = s, s = ]a) (, state = 9
Iteration 31562: c = s, s = ((a ), state = 9
Iteration 31563: c = x, s = [x}es, state = 9
Iteration 31564: c = e, s = s(r) , state = 9
Iteration 31565: c = (, s =  {r{a, state = 9
Iteration 31566: c = s, s =  {atx, state = 9
Iteration 31567: c = ), s = trr t, state = 9
Iteration 31568: c = x, s = ]{sa(, state = 9
Iteration 31569: c = r, s =  [tt), state = 9
Iteration 31570: c = a, s = {t]sa, state = 9
Iteration 31571: c = [, s = sraxe, state = 9
Iteration 31572: c = s, s = tr)e(, state = 9
Iteration 31573: c = r, s =  s[({, state = 9
Iteration 31574: c = (, s = t)([}, state = 9
Iteration 31575: c = s, s = a]t[], state = 9
Iteration 31576: c =  , s = {)(}(, state = 9
Iteration 31577: c = s, s = a[)(s, state = 9
Iteration 31578: c = e, s = t rta, state = 9
Iteration 31579: c = s, s = [x}{), state = 9
Iteration 31580: c = (, s = {st(s, state = 9
Iteration 31581: c = r, s = x{x}], state = 9
Iteration 31582: c = }, s = ){)  , state = 9
Iteration 31583: c = ), s = (aee , state = 9
Iteration 31584: c =  , s = e ex), state = 9
Iteration 31585: c = a, s = )r{]s, state = 9
Iteration 31586: c =  , s = a xes, state = 9
Iteration 31587: c =  , s = xxx(r, state = 9
Iteration 31588: c = e, s = ]t()r, state = 9
Iteration 31589: c = }, s = e}rrt, state = 9
Iteration 31590: c = a, s = [][ x, state = 9
Iteration 31591: c = s, s = ]r {], state = 9
Iteration 31592: c = a, s = x(st{, state = 9
Iteration 31593: c = ), s = s[](), state = 9
Iteration 31594: c = a, s = ))[} , state = 9
Iteration 31595: c = (, s = e}rtr, state = 9
Iteration 31596: c =  , s = [}tx], state = 9
Iteration 31597: c = e, s = r []{, state = 9
Iteration 31598: c = a, s = a a[a, state = 9
Iteration 31599: c = (, s = a(e}), state = 9
Iteration 31600: c = [, s = )a}xx, state = 9
Iteration 31601: c = a, s = ]xtes, state = 9
Iteration 31602: c = ], s = )r[)a, state = 9
Iteration 31603: c = {, s = [r)xs, state = 9
Iteration 31604: c = t, s = ]a[xs, state = 9
Iteration 31605: c = r, s = )x{ [, state = 9
Iteration 31606: c = ), s = )]{r), state = 9
Iteration 31607: c = [, s = } r}t, state = 9
Iteration 31608: c =  , s = ][(xx, state = 9
Iteration 31609: c = t, s = a[ }), state = 9
Iteration 31610: c = (, s = a(r}a, state = 9
Iteration 31611: c = s, s = [(]{e, state = 9
Iteration 31612: c =  , s = a } r, state = 9
Iteration 31613: c = }, s = }}})s, state = 9
Iteration 31614: c = [, s = ]a{st, state = 9
Iteration 31615: c = r, s = { e[r, state = 9
Iteration 31616: c = a, s = stx](, state = 9
Iteration 31617: c = a, s = s]rxs, state = 9
Iteration 31618: c = ), s = [}[}{, state = 9
Iteration 31619: c = (, s = ]e)ee, state = 9
Iteration 31620: c = ), s = }(tx , state = 9
Iteration 31621: c = s, s = s ext, state = 9
Iteration 31622: c = [, s = reexa, state = 9
Iteration 31623: c = ], s = ta {t, state = 9
Iteration 31624: c = x, s = x)ata, state = 9
Iteration 31625: c = {, s = ]txe), state = 9
Iteration 31626: c = r, s = ]x()s, state = 9
Iteration 31627: c = [, s = rrs)a, state = 9
Iteration 31628: c = a, s = { r}), state = 9
Iteration 31629: c = e, s = [(xx(, state = 9
Iteration 31630: c = s, s = rs[(], state = 9
Iteration 31631: c = r, s = tx((t, state = 9
Iteration 31632: c = (, s = (rs( , state = 9
Iteration 31633: c = {, s = ]))}{, state = 9
Iteration 31634: c = a, s =   xe], state = 9
Iteration 31635: c = ], s = s})s), state = 9
Iteration 31636: c = a, s = )reee, state = 9
Iteration 31637: c = r, s = ([)(a, state = 9
Iteration 31638: c = e, s =  t)tx, state = 9
Iteration 31639: c = r, s = xe(s], state = 9
Iteration 31640: c = s, s = ]]a{}, state = 9
Iteration 31641: c = (, s = ){e}(, state = 9
Iteration 31642: c = r, s = {{re , state = 9
Iteration 31643: c = {, s = r] xe, state = 9
Iteration 31644: c = e, s = {{] {, state = 9
Iteration 31645: c = x, s = a[{]{, state = 9
Iteration 31646: c = e, s = rst}a, state = 9
Iteration 31647: c = {, s = arx ], state = 9
Iteration 31648: c = e, s = x}]st, state = 9
Iteration 31649: c = ), s = ] sx], state = 9
Iteration 31650: c =  , s = tt (], state = 9
Iteration 31651: c = ), s = sa}t[, state = 9
Iteration 31652: c = t, s = {}err, state = 9
Iteration 31653: c = x, s = ]{( {, state = 9
Iteration 31654: c = [, s = ee s , state = 9
Iteration 31655: c = s, s = ({sa}, state = 9
Iteration 31656: c = ], s = sa(}a, state = 9
Iteration 31657: c =  , s = ]}e)a, state = 9
Iteration 31658: c = }, s = {te x, state = 9
Iteration 31659: c = t, s = xat]{, state = 9
Iteration 31660: c = {, s = ] }]r, state = 9
Iteration 31661: c = (, s =  e})x, state = 9
Iteration 31662: c = t, s = e{))e, state = 9
Iteration 31663: c = s, s =  tt[{, state = 9
Iteration 31664: c = a, s = {)r(a, state = 9
Iteration 31665: c = s, s = x(a[e, state = 9
Iteration 31666: c = {, s = {{tes, state = 9
Iteration 31667: c = ), s = rrr x, state = 9
Iteration 31668: c = }, s =  ]x{s, state = 9
Iteration 31669: c = r, s = ){x  , state = 9
Iteration 31670: c = r, s =  e[re, state = 9
Iteration 31671: c = t, s = tt([s, state = 9
Iteration 31672: c = {, s = ))sat, state = 9
Iteration 31673: c = x, s = e{ x), state = 9
Iteration 31674: c = (, s =  ( r}, state = 9
Iteration 31675: c = ], s = )sx)], state = 9
Iteration 31676: c = a, s = }r}es, state = 9
Iteration 31677: c = a, s = t}ttt, state = 9
Iteration 31678: c = [, s = as ) , state = 9
Iteration 31679: c = e, s = e)[{x, state = 9
Iteration 31680: c = ], s = et}a), state = 9
Iteration 31681: c =  , s = r[(at, state = 9
Iteration 31682: c = [, s = ]s]re, state = 9
Iteration 31683: c = ), s = e{x{s, state = 9
Iteration 31684: c = s, s = (r)(s, state = 9
Iteration 31685: c = t, s = srs}{, state = 9
Iteration 31686: c = ), s = e[e[a, state = 9
Iteration 31687: c = r, s = [[]er, state = 9
Iteration 31688: c = ), s = a]ree, state = 9
Iteration 31689: c = ], s = es}a(, state = 9
Iteration 31690: c = a, s =  t{ }, state = 9
Iteration 31691: c = x, s = sx)]), state = 9
Iteration 31692: c = t, s = a](t), state = 9
Iteration 31693: c = e, s = )t}xs, state = 9
Iteration 31694: c = x, s = {]a](, state = 9
Iteration 31695: c = ), s = {ara), state = 9
Iteration 31696: c = a, s = sxr][, state = 9
Iteration 31697: c =  , s = ))[]}, state = 9
Iteration 31698: c = ], s = ){r{e, state = 9
Iteration 31699: c = ), s = e(a(t, state = 9
Iteration 31700: c = x, s = e(s}), state = 9
Iteration 31701: c = x, s = e][]x, state = 9
Iteration 31702: c = {, s = (tr(r, state = 9
Iteration 31703: c = x, s = sxrr], state = 9
Iteration 31704: c = }, s = xxer], state = 9
Iteration 31705: c = r, s =  )t( , state = 9
Iteration 31706: c = ], s = r[ ss, state = 9
Iteration 31707: c = ], s = [tre{, state = 9
Iteration 31708: c = ), s = { [st, state = 9
Iteration 31709: c = e, s = )xaa , state = 9
Iteration 31710: c = (, s = [r]tt, state = 9
Iteration 31711: c = s, s = )]([], state = 9
Iteration 31712: c = (, s = er[r], state = 9
Iteration 31713: c = a, s =  e) e, state = 9
Iteration 31714: c = r, s = {a }e, state = 9
Iteration 31715: c = }, s = rt{xs, state = 9
Iteration 31716: c = a, s = x]t]e, state = 9
Iteration 31717: c = e, s = rr}sx, state = 9
Iteration 31718: c = (, s = xs[( , state = 9
Iteration 31719: c = e, s = t}a{(, state = 9
Iteration 31720: c =  , s = rs [x, state = 9
Iteration 31721: c =  , s = at[}], state = 9
Iteration 31722: c = e, s =  }rs), state = 9
Iteration 31723: c = (, s = tttt{, state = 9
Iteration 31724: c =  , s = s{saa, state = 9
Iteration 31725: c = t, s = ]{tsx, state = 9
Iteration 31726: c = a, s =  raaa, state = 9
Iteration 31727: c = (, s = (r)e), state = 9
Iteration 31728: c =  , s = (}a{), state = 9
Iteration 31729: c = ), s = )]sx(, state = 9
Iteration 31730: c = {, s = )s)}s, state = 9
Iteration 31731: c = t, s = s{e{}, state = 9
Iteration 31732: c = {, s = x)[t), state = 9
Iteration 31733: c = ], s = xe rt, state = 9
Iteration 31734: c = [, s =  )e (, state = 9
Iteration 31735: c = s, s = }]e{{, state = 9
Iteration 31736: c = ], s = ({t[a, state = 9
Iteration 31737: c = x, s = {s{ e, state = 9
Iteration 31738: c = r, s = [{] (, state = 9
Iteration 31739: c = r, s =  }x[e, state = 9
Iteration 31740: c = ), s = (xa[), state = 9
Iteration 31741: c = }, s = ]e]]e, state = 9
Iteration 31742: c = (, s = {{ta), state = 9
Iteration 31743: c = t, s = {) et, state = 9
Iteration 31744: c = a, s = ) stx, state = 9
Iteration 31745: c = ], s = ]}[[}, state = 9
Iteration 31746: c = r, s = ]a}}(, state = 9
Iteration 31747: c = x, s = ) )re, state = 9
Iteration 31748: c = (, s = ete[e, state = 9
Iteration 31749: c = e, s = )}{x), state = 9
Iteration 31750: c = ), s = {x ax, state = 9
Iteration 31751: c = s, s = [{a]], state = 9
Iteration 31752: c = ), s = [ [](, state = 9
Iteration 31753: c = e, s = ssrr[, state = 9
Iteration 31754: c = ], s = ]) et, state = 9
Iteration 31755: c = s, s = } xr), state = 9
Iteration 31756: c = e, s = er( a, state = 9
Iteration 31757: c = e, s = s){sa, state = 9
Iteration 31758: c =  , s = ]{ }[, state = 9
Iteration 31759: c =  , s = {esx), state = 9
Iteration 31760: c = t, s = x( et, state = 9
Iteration 31761: c = e, s = rsr[{, state = 9
Iteration 31762: c = [, s = e[rts, state = 9
Iteration 31763: c = [, s = a]xr(, state = 9
Iteration 31764: c = ), s = txxt[, state = 9
Iteration 31765: c = (, s = t)a{), state = 9
Iteration 31766: c = a, s = ( ae , state = 9
Iteration 31767: c = }, s = [{}s , state = 9
Iteration 31768: c = }, s = t) }x, state = 9
Iteration 31769: c = ), s = [xt)a, state = 9
Iteration 31770: c = (, s = sxr{), state = 9
Iteration 31771: c =  , s = ]s][e, state = 9
Iteration 31772: c = (, s = }t {s, state = 9
Iteration 31773: c = ), s = et (x, state = 9
Iteration 31774: c = r, s = e) sa, state = 9
Iteration 31775: c = r, s = [{{ra, state = 9
Iteration 31776: c = s, s = ({rr{, state = 9
Iteration 31777: c = r, s = te] (, state = 9
Iteration 31778: c = ], s = tt)a{, state = 9
Iteration 31779: c = (, s = {tsxe, state = 9
Iteration 31780: c = {, s = {t}}e, state = 9
Iteration 31781: c = t, s = as( e, state = 9
Iteration 31782: c = x, s = tr )t, state = 9
Iteration 31783: c = a, s = x[xt), state = 9
Iteration 31784: c = ), s =  r](a, state = 9
Iteration 31785: c = ], s = x})s(, state = 9
Iteration 31786: c = x, s = txx(], state = 9
Iteration 31787: c = {, s = ])tsa, state = 9
Iteration 31788: c = [, s = xr te, state = 9
Iteration 31789: c = e, s = r[}} , state = 9
Iteration 31790: c = e, s = (]xs], state = 9
Iteration 31791: c = }, s = x](es, state = 9
Iteration 31792: c = s, s = {}} ), state = 9
Iteration 31793: c = t, s =  (e][, state = 9
Iteration 31794: c = r, s = xrt( , state = 9
Iteration 31795: c = {, s = [}[}}, state = 9
Iteration 31796: c = ], s = (s as, state = 9
Iteration 31797: c = (, s =  [es , state = 9
Iteration 31798: c = a, s = t]xra, state = 9
Iteration 31799: c = ), s = )r}}t, state = 9
Iteration 31800: c = r, s = s[as], state = 9
Iteration 31801: c = s, s = ]ss( , state = 9
Iteration 31802: c = r, s = a}r(}, state = 9
Iteration 31803: c = (, s = xxet , state = 9
Iteration 31804: c = (, s = )et[}, state = 9
Iteration 31805: c = t, s = sataa, state = 9
Iteration 31806: c = r, s = {()({, state = 9
Iteration 31807: c = e, s = t)xre, state = 9
Iteration 31808: c = s, s = ex ra, state = 9
Iteration 31809: c = }, s = e[}e{, state = 9
Iteration 31810: c = (, s = s[)tx, state = 9
Iteration 31811: c = s, s = ]r({t, state = 9
Iteration 31812: c = a, s = [([)e, state = 9
Iteration 31813: c = e, s = }r{s}, state = 9
Iteration 31814: c = r, s = )xr[a, state = 9
Iteration 31815: c = t, s = ({(](, state = 9
Iteration 31816: c = ], s = ]r)r(, state = 9
Iteration 31817: c = ], s = { r{e, state = 9
Iteration 31818: c = }, s = { x}{, state = 9
Iteration 31819: c = [, s = arx s, state = 9
Iteration 31820: c = e, s = a(txs, state = 9
Iteration 31821: c =  , s =  }(ea, state = 9
Iteration 31822: c = {, s = xrx{[, state = 9
Iteration 31823: c = x, s = e{]as, state = 9
Iteration 31824: c = t, s = a{etx, state = 9
Iteration 31825: c = e, s = rrsea, state = 9
Iteration 31826: c = s, s = {)}a}, state = 9
Iteration 31827: c = s, s = ][) a, state = 9
Iteration 31828: c = ), s = ]atx], state = 9
Iteration 31829: c = e, s = ){(}(, state = 9
Iteration 31830: c = r, s = atxar, state = 9
Iteration 31831: c = s, s =  t)rx, state = 9
Iteration 31832: c = [, s = r[ xx, state = 9
Iteration 31833: c = ), s = {{s(], state = 9
Iteration 31834: c = ), s = [ar e, state = 9
Iteration 31835: c = t, s = t(s)], state = 9
Iteration 31836: c = ), s = x[][r, state = 9
Iteration 31837: c = [, s = {] x[, state = 9
Iteration 31838: c = e, s = {{[[x, state = 9
Iteration 31839: c = e, s = r)()s, state = 9
Iteration 31840: c = s, s = }e{aa, state = 9
Iteration 31841: c = t, s = (tts(, state = 9
Iteration 31842: c = e, s = (xx}s, state = 9
Iteration 31843: c = }, s =  {ex{, state = 9
Iteration 31844: c =  , s = {tt ], state = 9
Iteration 31845: c = e, s = a{]]], state = 9
Iteration 31846: c = (, s = )s[}t, state = 9
Iteration 31847: c =  , s = x[rs], state = 9
Iteration 31848: c = r, s = }ss a, state = 9
Iteration 31849: c = {, s = ]] ](, state = 9
Iteration 31850: c = t, s = x) {{, state = 9
Iteration 31851: c = [, s = }st]}, state = 9
Iteration 31852: c = [, s = ts[]r, state = 9
Iteration 31853: c = ], s = }a]a], state = 9
Iteration 31854: c = (, s = }xtt{, state = 9
Iteration 31855: c = [, s = se)(t, state = 9
Iteration 31856: c = s, s = ()r{ , state = 9
Iteration 31857: c = a, s = {a{a(, state = 9
Iteration 31858: c = (, s = ()xts, state = 9
Iteration 31859: c = {, s = [}etx, state = 9
Iteration 31860: c = t, s = (xre}, state = 9
Iteration 31861: c = s, s = ]ex}(, state = 9
Iteration 31862: c = e, s = e}([e, state = 9
Iteration 31863: c = {, s =  (r][, state = 9
Iteration 31864: c = r, s = [{xe{, state = 9
Iteration 31865: c = t, s = rxx] , state = 9
Iteration 31866: c = s, s = }[e[), state = 9
Iteration 31867: c = t, s = saxt}, state = 9
Iteration 31868: c = a, s = asx{), state = 9
Iteration 31869: c = x, s = (r]}}, state = 9
Iteration 31870: c = t, s = xa}et, state = 9
Iteration 31871: c = r, s = sxte}, state = 9
Iteration 31872: c = }, s = s}tx), state = 9
Iteration 31873: c = ], s = es}a , state = 9
Iteration 31874: c = {, s = tasrt, state = 9
Iteration 31875: c = }, s = ]}s }, state = 9
Iteration 31876: c = t, s = {}x( , state = 9
Iteration 31877: c = [, s = ){]]), state = 9
Iteration 31878: c = {, s =  } e[, state = 9
Iteration 31879: c = }, s = (tt[], state = 9
Iteration 31880: c = [, s = }x]a], state = 9
Iteration 31881: c = (, s = }e)s[, state = 9
Iteration 31882: c = s, s = [){]x, state = 9
Iteration 31883: c = s, s = t]){), state = 9
Iteration 31884: c = ), s = er]sr, state = 9
Iteration 31885: c =  , s = [aers, state = 9
Iteration 31886: c = ), s = ea)xa, state = 9
Iteration 31887: c = ), s = xaar(, state = 9
Iteration 31888: c = r, s = r{a x, state = 9
Iteration 31889: c = (, s = tae)x, state = 9
Iteration 31890: c = ], s = txts(, state = 9
Iteration 31891: c = t, s = }( [}, state = 9
Iteration 31892: c = ), s = r[[[s, state = 9
Iteration 31893: c =  , s = s)}xs, state = 9
Iteration 31894: c = [, s = }e} ), state = 9
Iteration 31895: c = s, s = [}a(x, state = 9
Iteration 31896: c = ), s = ([]a{, state = 9
Iteration 31897: c =  , s = (sx((, state = 9
Iteration 31898: c =  , s = xts[a, state = 9
Iteration 31899: c = s, s = [ee]{, state = 9
Iteration 31900: c = a, s = )a[[}, state = 9
Iteration 31901: c = ), s = )))x[, state = 9
Iteration 31902: c = r, s = ](r(x, state = 9
Iteration 31903: c = e, s = }et}t, state = 9
Iteration 31904: c =  , s = a( ar, state = 9
Iteration 31905: c = ), s = ] (ex, state = 9
Iteration 31906: c = ), s = a[ s), state = 9
Iteration 31907: c = x, s = r{)}x, state = 9
Iteration 31908: c = t, s =  (sa), state = 9
Iteration 31909: c = t, s = e([[x, state = 9
Iteration 31910: c = r, s = r{{e[, state = 9
Iteration 31911: c = ), s = }}rsx, state = 9
Iteration 31912: c =  , s = a ][r, state = 9
Iteration 31913: c = {, s = t{ t}, state = 9
Iteration 31914: c = [, s = s ([x, state = 9
